App,id,Category,Rating,Size,Installs,type,Content,Android,inapp,loc,contac_r,contact_w,media_r,media_w,storage_R,storage_w,cam,ad,label
Coloring book moana,0,ART_AND_DESIGN,3.9,14,"500,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",1,ART_AND_DESIGN,4.7,8.7,"5,000,000+",0,Everyone,4.0.3 and up,0,1,0,0,1,1,1,1,0,1,1
Sketch - Draw & Paint,2,ART_AND_DESIGN,4.5,25,"50,000,000+",0,Teen,4.2 and up,1,0,1,0,1,1,1,1,0,1,1
Pixel Draw - Number Art Coloring Book,3,ART_AND_DESIGN,4.3,2.8,"100,000+",0,Everyone,4.4 and up,0,0,0,0,1,1,1,1,1,1,1
Smoke Effect Photo Maker - Smoke Editor,4,ART_AND_DESIGN,3.8,19,"50,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
Infinite Painter,5,ART_AND_DESIGN,4.1,29,"1,000,000+",0,Everyone,4.2 and up,1,0,0,0,1,1,1,1,0,0,1
Garden Coloring Book,6,ART_AND_DESIGN,4.4,33,"1,000,000+",0,Everyone,3.0 and up,1,0,0,0,1,1,1,1,0,1,1
Kids Paint Free - Drawing Fun,7,ART_AND_DESIGN,4.7,3.1,"10,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
Text on Photo - Fonteee,8,ART_AND_DESIGN,4.4,28,"1,000,000+",0,Everyone,4.1 and up,0,0,0,0,1,1,1,1,0,1,1
Name Art Photo Editor - Focus n Filters,9,ART_AND_DESIGN,4.4,12,"1,000,000+",0,Everyone,4.0 and up,0,0,0,0,1,1,1,1,0,1,1
Tattoo Name On My Photo Editor,10,ART_AND_DESIGN,4.2,20,"10,000,000+",0,Teen,4.1 and up,0,1,0,0,1,1,1,1,0,1,1
Mandala Coloring Book,11,ART_AND_DESIGN,4.6,21,"100,000+",0,Everyone,4.4 and up,0,0,1,1,1,1,1,1,0,1,1
3D Color Pixel by Number - Sandbox Art Coloring,12,ART_AND_DESIGN,4.4,37,"100,000+",0,Everyone,2.3 and up,0,1,0,0,1,1,1,1,0,1,1
Photo Designer - Write your name with shapes,13,ART_AND_DESIGN,4.7,5.5,"500,000+",0,Everyone,4.1 and up,0,0,0,0,1,1,1,1,0,1,1
350 Diy Room Decor Ideas,14,ART_AND_DESIGN,4.5,17,"10,000+",0,Everyone,2.3 and up,0,0,0,0,0,0,0,0,0,1,1
FlipaClip - Cartoon animation,15,ART_AND_DESIGN,4.3,39,"5,000,000+",0,Everyone,4.0.3 and up,1,1,1,0,1,1,1,1,0,1,1
ibis Paint X,16,ART_AND_DESIGN,4.6,31,"10,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,1,1
Logo Maker - Small Business,17,ART_AND_DESIGN,4,14,"100,000+",0,Everyone,4.1 and up,0,0,0,0,1,1,1,1,0,1,1
Boys Photo Editor - Six Pack & Men's Suit,18,ART_AND_DESIGN,4.1,12,"100,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
Superheroes Wallpapers | 4K Backgrounds,19,ART_AND_DESIGN,4.7,4.2,"500,000+",0,Everyone 10+,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
Mcqueen Coloring pages,20,ART_AND_DESIGN,0,7,"100,000+",0,Everyone,4.1 and up,0,0,0,0,1,1,1,1,0,1,1
Harley Quinn wallpapers HD,21,ART_AND_DESIGN,4.8,6,"10,000+",0,Everyone,3.0 and up,0,0,0,0,1,1,1,1,0,1,1
Colorfit - Drawing & Coloring,23,ART_AND_DESIGN,4.7,25,"500,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
Animated Photo Editor,24,ART_AND_DESIGN,4.1,6.1,"100,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
Pink Silver Bow Keyboard Theme,25,ART_AND_DESIGN,4.2,9.2,"100,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,0,1
Art Drawing Ideas,26,ART_AND_DESIGN,4.1,5.2,"50,000+",0,Everyone,2.3 and up,0,0,0,0,0,0,0,0,0,1,1
Anime Manga Coloring Book,27,ART_AND_DESIGN,4.5,11,"100,000+",0,Everyone,4.0 and up,1,0,0,0,1,1,1,1,0,1,1
Easy Origami Ideas,28,ART_AND_DESIGN,4.2,11,"100,000+",0,Everyone,4.1 and up,0,0,0,0,0,0,0,0,0,1,1
UNICORN - Color By Number & Pixel Art Coloring,29,ART_AND_DESIGN,4.7,24,"500,000+",0,Everyone,4.4 and up,1,1,0,0,1,1,1,1,1,1,1
Floor Plan Creator,30,ART_AND_DESIGN,4.1,19,"5,000,000+",0,Everyone,2.3.3 and up,1,1,0,0,1,1,1,1,0,1,1
PIP Camera - PIP Collage Maker,31,ART_AND_DESIGN,4.7,11,"10,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,1,1,1
Drawing Clothes Fashion Ideas,32,ART_AND_DESIGN,4.2,15,"10,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
Sad Poetry Photo Frames 2018,33,ART_AND_DESIGN,4.5,10,"100,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,1,1,1
Popsicle Sticks and Similar DIY Craft Ideas,34,ART_AND_DESIGN,4.2,12,"10,000+",0,Everyone,4.1 and up,0,0,0,0,1,1,1,1,0,1,1
Little Teddy Bear Colouring Book Game,35,ART_AND_DESIGN,4.2,8,"100,000+",0,Everyone,4.1 and up,0,0,0,0,1,1,1,1,0,1,1
How To Draw Food,36,ART_AND_DESIGN,4.3,7.9,"100,000+",0,Everyone,2.3 and up,0,0,0,0,0,0,0,0,0,1,1
E-Book Read - Read Book for free,38,BOOKS_AND_REFERENCE,4.5,4.9,"50,000+",0,Everyone,4.4 and up,1,0,0,0,1,1,1,1,0,1,1
Wikipedia,39,BOOKS_AND_REFERENCE,4.4,20,"10,000,000+",0,Everyone,4,0,0,1,0,1,1,1,1,0,0,1
Amazon Kindle,40,BOOKS_AND_REFERENCE,4.2,40,"100,000,000+",0,Teen,4.1,0,0,1,0,1,1,1,1,0,1,1
Cool Reader,41,BOOKS_AND_REFERENCE,4.5,23,"10,000,000+",0,Everyone,1.5 and up,1,0,0,0,1,1,1,1,0,0,1
Dictionary - Merriam-Webster,42,BOOKS_AND_REFERENCE,4.5,25,"10,000,000+",0,Everyone,4.3,1,0,0,0,1,1,1,1,0,1,1
NOOK: Read eBooks & Magazines,43,BOOKS_AND_REFERENCE,4.5,18,"10,000,000+",0,Teen,4,0,1,0,0,0,0,0,0,0,0,1
Free Panda Radio Music,44,BOOKS_AND_REFERENCE,4.5,4.2,"100,000+",0,Everyone,4.1 and up,0,0,0,0,0,0,0,0,0,1,1
