,id,Category,inapp,loc,contac_r,contact_w,media_r,media_w,storage_R,storage_w,cam,ad,size_below20,size_below50,size_below100,rating_above3,rating_above4,rating_anything
0,0,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0
1,1,0,0.0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0
2,2,0,1.0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0
3,3,0,0.0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0
4,4,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0
5,5,0,1.0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0
6,6,0,1.0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
7,7,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
8,8,0,0.0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
9,9,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
10,10,0,0.0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0
11,11,0,0.0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0
12,12,0,0.0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0
13,13,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
14,14,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
15,15,0,1.0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0
16,16,0,1.0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
17,17,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
18,18,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
19,19,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
20,20,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
21,21,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
22,23,0,0.0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
23,24,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
24,25,0,0.0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0
25,26,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
26,27,0,1.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
27,28,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
28,29,0,1.0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0
29,30,0,1.0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0
30,31,0,0.0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0
31,32,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
32,33,0,0.0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0
33,34,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
34,35,0,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
35,36,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
36,38,1,1.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
37,39,1,0.0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0
38,40,1,0.0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0
39,41,1,1.0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0
40,42,1,1.0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
41,43,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
42,44,1,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
43,45,1,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
44,46,1,0.0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
45,47,1,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
46,48,1,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
47,49,1,0.0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0
48,50,1,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
49,51,1,1.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
50,52,1,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
51,53,1,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
52,54,1,0.0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
53,55,1,0.0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0
54,56,1,1.0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0
55,57,1,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
56,58,1,1.0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0
57,59,1,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
58,60,1,1.0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0
59,61,1,0.0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0
60,62,1,0.0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0
61,63,1,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
62,64,1,1.0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0
63,65,1,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
64,66,1,1.0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0
65,67,1,1.0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0
66,68,1,1.0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0
67,69,1,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
68,70,1,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
69,71,1,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
70,72,1,0.0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0
71,73,1,0.0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0
72,74,2,0.0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
73,75,2,1.0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0
74,76,2,0.0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
75,77,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
76,78,2,0.0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0
77,79,2,1.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
78,80,2,1.0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0
79,81,2,0.0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0
80,82,2,0.0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
81,83,2,0.0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0
82,84,2,0.0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
83,85,2,0.0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
84,86,2,0.0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0
85,87,2,0.0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0
86,88,2,1.0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0
87,89,2,0.0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
88,90,2,0.0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0
89,91,2,0.0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0
90,92,2,0.0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0
91,93,2,,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0
92,94,2,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
93,95,2,0.0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
94,96,2,0.0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
95,97,2,0.0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
96,98,2,0.0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0
97,99,2,0.0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0
98,100,2,0.0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0
99,101,2,1.0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0
100,102,2,0.0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
101,103,2,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
