App,id,Category,Rating,Size,Installs,type,Content Rating,Android,inapp,loc,contac_r,contact_w,media_r,media_w,storage_R,storage_w,cam,ad,label
Coloring book moana,0,ART_AND_DESIGN,3.9,14,"500,000+",0,Everyone,4.0.3 ,0,0,0,0,1,1,1,1,0,1,1
Coloring book moana,0,GAME,3.9,14,"500,000+",0,Everyone,4.0.3 ,0,0,0,0,1,1,1,1,0,1,0
Coloring book moana,0,COMMUNICATION,3.9,14,"500,000+",0,Everyone,4.0.3 ,0,0,0,0,1,1,1,1,0,1,0
Coloring book moana,0,BOOKS_AND_REFERENCE,3.9,14,"500,000+",0,Everyone,4.0.3 ,0,0,0,0,1,1,1,1,0,1,0
Coloring book moana,0,BUSINESS,3.9,14,"500,000+",0,Everyone,4.0.3 ,0,0,0,0,1,1,1,1,0,1,0
Coloring book moana,0,ART_AND_DESIGN,3.9,14,"500,000+",0,Everyone,4.0.3 ,1,0,0,0,1,1,1,1,0,1,1
Coloring book moana,0,ART_AND_DESIGN,3.9,14,"500,000+",0,Everyone,4.0.3 ,0,1,0,0,1,1,1,1,0,1,1
Coloring book moana,0,ART_AND_DESIGN,3.9,14,"500,000+",0,Everyone,4.0.3 ,0,0,1,1,1,1,1,1,0,1,1
Coloring book moana,0,ART_AND_DESIGN,3.9,14,"500,000+",0,Everyone,4.0.3 ,0,0,0,0,1,1,1,1,1,1,1
Coloring book moana,0,ART_AND_DESIGN,3.9,14,"500,000+",0,Everyone,4.0.3 ,1,1,1,1,1,1,1,1,1,1,1
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",1,ART_AND_DESIGN,4.7,8.7,"5,000,000+",0,Everyone,4.0.3 ,0,1,0,0,1,1,1,1,0,1,1
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",1,COMMUNICATION,4.7,8.7,"5,000,000+",0,Everyone,4.0.3 ,0,1,0,0,1,1,1,1,0,1,0
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",1,BOOKS_AND_REFERENCE,4.7,8.7,"5,000,000+",0,Everyone,4.0.3 ,0,1,0,0,1,1,1,1,0,1,0
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",1,BUSINESS,4.7,8.7,"5,000,000+",0,Everyone,4.0.3 ,0,1,0,0,1,1,1,1,0,1,0
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",1,ART_AND_DESIGN,4.7,8.7,"5,000,000+",0,Everyone,4.0.3 ,1,1,0,0,1,1,1,1,0,1,1
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",1,ART_AND_DESIGN,4.7,8.7,"5,000,000+",0,Everyone,4.0.3 ,0,1,1,0,1,1,1,1,0,1,1
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",1,ART_AND_DESIGN,4.7,8.7,"5,000,000+",0,Everyone,4.0.3 ,0,1,0,1,1,1,1,1,0,1,1
Sketch - Draw & Paint,2,ART_AND_DESIGN,4.5,25,"50,000,000+",0,Teen,4.2,1,0,1,0,1,1,1,1,0,1,1
Sketch - Draw & Paint,2,GAME,4.5,25,"50,000,000+",0,Teen,4.2,1,0,1,0,1,1,1,1,0,1,0
Sketch - Draw & Paint,2,COMMUNICATION,4.5,25,"50,000,000+",0,Teen,4.2,1,0,1,0,1,1,1,1,0,1,0
Sketch - Draw & Paint,2,BOOKS_AND_REFERENCE,4.5,25,"50,000,000+",0,Teen,4.2,1,0,1,0,1,1,1,1,0,1,0
Sketch - Draw & Paint,2,BUSINESS,4.5,25,"50,000,000+",0,Teen,4.2,1,0,1,0,1,1,1,1,0,1,0
Sketch - Draw & Paint,2,ART_AND_DESIGN,4.5,25,"50,000,000+",0,Teen,4.2,1,1,1,0,1,1,1,1,0,1,1
Sketch - Draw & Paint,2,ART_AND_DESIGN,4.5,25,"50,000,000+",0,Teen,4.2,1,0,1,1,1,1,1,1,0,1,1
Sketch - Draw & Paint,2,ART_AND_DESIGN,4.5,25,"50,000,000+",0,Teen,4.2,1,0,1,0,1,1,1,1,1,1,1
Sketch - Draw & Paint,2,ART_AND_DESIGN,4.5,25,"50,000,000+",0,Teen,4.2,1,0,1,0,1,1,1,1,0,1,1
Pixel Draw - Number Art Coloring Book,3,ART_AND_DESIGN,4.3,2.8,"100,000+",0,Everyone,4.4,0,0,0,0,1,1,1,1,1,1,1
Pixel Draw - Number Art Coloring Book,3,GAME,4.3,2.8,"100,000+",0,Everyone,4.4,0,0,0,0,1,1,1,1,1,1,0
Pixel Draw - Number Art Coloring Book,3,COMMUNICATION,4.3,2.8,"100,000+",0,Everyone,4.4,0,0,0,0,1,1,1,1,1,1,0
Pixel Draw - Number Art Coloring Book,3,BOOKS_AND_REFERENCE,4.3,2.8,"100,000+",0,Everyone,4.4,0,0,0,0,1,1,1,1,1,1,0
Pixel Draw - Number Art Coloring Book,3,BUSINESS,4.3,2.8,"100,000+",0,Everyone,4.4,0,0,0,0,1,1,1,1,1,1,0
Pixel Draw - Number Art Coloring Book,3,ART_AND_DESIGN,4.3,2.8,"100,000+",0,Everyone,4.4,1,0,0,0,1,1,1,1,1,1,1
Pixel Draw - Number Art Coloring Book,3,ART_AND_DESIGN,4.3,2.8,"100,000+",0,Everyone,4.4,0,1,0,0,1,1,1,1,1,1,1
Pixel Draw - Number Art Coloring Book,3,ART_AND_DESIGN,4.3,2.8,"100,000+",0,Everyone,4.4,0,0,1,0,1,1,1,1,1,1,1
Pixel Draw - Number Art Coloring Book,3,ART_AND_DESIGN,4.3,2.8,"100,000+",0,Everyone,4.4,0,0,0,1,1,1,1,1,1,1,1
Smoke Effect Photo Maker - Smoke Editor,4,ART_AND_DESIGN,3.8,19,"50,000+",0,Everyone,4.0.3 ,0,0,0,0,1,1,1,1,0,1,1
Smoke Effect Photo Maker - Smoke Editor,4,GAME,3.8,19,"50,000+",0,Everyone,4.0.3 ,0,0,0,0,1,1,1,1,0,1,0
