app,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Total
Camera,18s,0s,2m 3s,0s,37s,4m 45s,0s,7m 44s
Google Pay,0s,1s,0s,1m 19s,5m 28s,0s,0s,6m 49s
WhatsApp,0s,1m 5s,1h 22m 9s,1h 34m 38s,2h 35m 46s,1h 8m 6s,4m 20s,6h 46m 6s
Google Play Store,0s,0s,0s,0s,0s,0s,46s,46s
Maps,0s,45s,0s,1m 3s,1m 39s,0s,0s,3m 28s
SIM Toolkit,0s,0s,0s,0s,36s,0s,0s,36s
Messaging,39s,45s,0s,35s,41s,0s,0s,2m 41s
Calculator,0s,0s,0s,0s,1m 35s,1m 4s,0s,2m 40s
Mondly Arabic,0s,0s,2m 29s,0s,0s,0s,0s,2m 29s
Launcher,5m 39s,12m 35s,50m 37s,28m 42s,34m 26s,12m 21s,4m 55s,2h 29m 18s
Google,0s,1m 11s,0s,1m 4s,2m 20s,13m 18s,8m 36s,26m 31s
Gallery,15s,6s,7s,7m 17s,8m 58s,5m 24s,0s,22m 9s
Backup and Restore,0s,0s,0s,0s,1s,0s,0s,1s
Google Play services,0s,13s,0s,14s,36s,0s,0s,1m 5s
StayFree,0s,0s,0s,0s,0s,0s,1m 51s,1m 51s
Where is my Train,0s,0s,0s,0s,55s,52s,0s,1m 47s
Clock,5s,46s,0s,20s,19s,0s,5s,1m 36s
Swiggy,0s,0s,0s,0s,1m 29s,0s,0s,1m 29s
Photos,0s,0s,0s,0s,1m 13s,0s,0s,1m 13s
AnyBooks,25m 40s,25m 31s,19m 58s,0s,0s,0s,31m ,1h 42m 10s
YouTube,1h 30m 31s,36s,0s,0s,11s,14s,0s,1h 31m 34s
Truecaller,34s,11m 8s,37m 27s,39s,26m 31s,48s,20s,1h 17m 29s
Drive,0s,0s,0s,19s,0s,0s,0s,19s
Settings,1s,6m 39s,0s,42s,8m 48s,1m 9s,7s,17m 28s
Xender,0s,16s,0s,0s,0s,0s,0s,16s
Total,2h 3m 45s,1h 10m 50s,3h 15m 46s,2h 22m 56s,4h 15m 32s,1h 51m 9s,52m 3s,15h 52m 3s
Chrome,0s,5m 30s,0s,4m 40s,1m 50s,0s,0s,12m 2s
Music,0s,11s,0s,0s,0s,0s,0s,11s
Contacts,0s,3m 24s,52s,1m 16s,1m 25s,3m 4s,0s,10m 3s
